Iteration 0
curr length is4751
curr length is4474
curr length is4747
curr length is4522
curr length is5079
curr length is4846
curr length is5141
curr length is5106
curr length is3227
curr length is4506
curr length is4891
curr length is4721
curr length is4272
curr length is5532
curr length is3838
curr length is5006
curr length is4319
curr length is4907
curr length is4384
curr length is4528
curr length is4706
curr length is5051
curr length is5251
curr length is4186
curr length is3376
curr length is4847
curr length is4732
curr length is5065
curr length is4768
curr length is4523
Iteration 27
curr length is4782
curr length is5327
curr length is4559
curr length is4818
curr length is4281
curr length is4630
curr length is4534
curr length is5224
curr length is4506
curr length is5044
curr length is5077
curr length is5125
curr length is4577
curr length is4531
curr length is4554
curr length is4601
curr length is4485
curr length is5276
curr length is4244
curr length is5342
curr length is4893
curr length is3893
curr length is4540
curr length is4260
curr length is4772
curr length is4529
curr length is4970
curr length is5252
curr length is4191
curr length is4269
curr length is5336
curr length is4441
curr length is4958
curr length is4562
curr length is4783
curr length is4609
curr length is4678
curr length is4161
curr length is3942
curr length is4849
curr length is4463
curr length is4825
curr length is4841
curr length is4451
curr length is5032
curr length is3952
curr length is3696
curr length is4714
curr length is4449
curr length is5242
Iteration 28
curr length is5141
curr length is4829
curr length is4301
curr length is5104
curr length is4511
curr length is5223
curr length is4144
curr length is5209
curr length is4833
curr length is3405
curr length is4527
curr length is5310
curr length is5015
curr length is4890
curr length is4532
curr length is4881
curr length is4470
curr length is4455
curr length is4409
curr length is4644
curr length is4327
curr length is4156
curr length is4772
curr length is5405
curr length is4214
curr length is4845
curr length is5052
curr length is4422
curr length is4520
curr length is4627
curr length is5172
curr length is5048
curr length is5212
curr length is4691
curr length is4690
curr length is4900
curr length is5377
curr length is4885
curr length is4278
curr length is4915
curr length is5054
curr length is4333
curr length is4353
curr length is4793
curr length is4603
curr length is4648
curr length is3448
curr length is4241
curr length is4948
curr length is4795
Iteration 29
curr length is4595
curr length is4285
curr length is4527
curr length is4677
curr length is5004
curr length is4929
curr length is4118
curr length is4622
curr length is5225
curr length is4161
curr length is4266
curr length is4927
curr length is4950
curr length is4909
curr length is4562
curr length is4370
curr length is4154
curr length is4944
curr length is4868
curr length is3698
curr length is4776
curr length is5003
curr length is4084
curr length is4713
curr length is4578
curr length is5050
curr length is5089
curr length is4756
curr length is5347
curr length is4260
curr length is4256
curr length is5084
curr length is4127
curr length is4876
curr length is5287
curr length is4571
curr length is4881
curr length is4500
curr length is5056
curr length is4834
curr length is4141
curr length is5004
curr length is3444
curr length is4936
curr length is5358
curr length is4208
curr length is4589
curr length is5526
curr length is5072
curr length is4686
Iteration 30
curr length is4340
curr length is4751
curr length is5367
curr length is5084
curr length is4788
curr length is5087
curr length is4845
curr length is4870
curr length is5652
curr length is4264
curr length is4793
curr length is4552
curr length is3507
curr length is4878
curr length is4415
curr length is5145
curr length is4416
curr length is4390
curr length is4727
curr length is4690
curr length is3990
curr length is4644
curr length is5224
curr length is5207
curr length is4227
curr length is5369
curr length is3732
curr length is4917
curr length is4446
curr length is5409
curr length is4657
curr length is5557
curr length is4329
curr length is4601
curr length is4606
curr length is4429
curr length is4551
curr length is4697
curr length is4593
curr length is3695
curr length is4400
curr length is5129
curr length is3680
curr length is4709
curr length is4840
curr length is4057
curr length is4953
curr length is4507
curr length is5047
curr length is4889
Iteration 31
curr length is4683
curr length is5494
curr length is4306
curr length is5124
curr length is5203
curr length is5134
curr length is4238
curr length is3793
curr length is4007
curr length is4916
curr length is4848
curr length is4511
curr length is4247
curr length is4590
curr length is5029
curr length is4568
curr length is4580
curr length is4474
curr length is5091
curr length is5115
curr length is5239
curr length is4369
curr length is4437
curr length is4582
curr length is3618
curr length is4923
curr length is4474
curr length is4515
curr length is4529
curr length is4522
curr length is4501
curr length is4251
curr length is5245
curr length is4989
curr length is4432
curr length is4821
curr length is5014
curr length is4593
curr length is4271
curr length is4985
curr length is4945
curr length is4264
curr length is4367
curr length is4919
curr length is4722
curr length is4560
curr length is4576
curr length is4572
curr length is4649
curr length is5370
Iteration 32
curr length is5113
curr length is4248
curr length is5020
curr length is5113
curr length is4404
curr length is5066
curr length is5284
curr length is3408
curr length is4899
curr length is4446
curr length is4307
curr length is4463
curr length is4170
curr length is4292
curr length is4676
curr length is4632
curr length is4682
curr length is5612
curr length is4838
curr length is4827
curr length is4364
curr length is4648
curr length is4409
curr length is4259
curr length is5352
curr length is4703
curr length is5199
curr length is4998
curr length is3598
curr length is3627
curr length is4212
curr length is5035
curr length is4361
curr length is5110
curr length is5302
curr length is3750
curr length is4540
curr length is5318
curr length is4904
curr length is4762
curr length is4075
curr length is4757
curr length is4092
curr length is4971
curr length is5221
curr length is5283
curr length is5019
curr length is4555
curr length is5403
curr length is5304
Iteration 33
curr length is5251
curr length is4800
curr length is4645
curr length is3956
curr length is4735
curr length is4493
curr length is5380
curr length is5005
curr length is4874
curr length is3624
curr length is5020
curr length is4651
curr length is4403
curr length is4984
curr length is4143
curr length is4348
curr length is4898
curr length is4809
curr length is3786
curr length is4565
curr length is4872
curr length is5028
curr length is5045
curr length is4910
curr length is4611
curr length is4997
curr length is4680
curr length is4577
curr length is4890
curr length is5074
curr length is4971
curr length is4773
curr length is3672
curr length is4728
curr length is5107
curr length is4427
curr length is4765
curr length is4163
curr length is4121
curr length is4764
curr length is4600
curr length is4676
curr length is5368
curr length is4971
curr length is4942
curr length is4444
curr length is3589
curr length is3681
curr length is4710
curr length is5101
Iteration 34
curr length is4516
curr length is4740
curr length is4339
curr length is4376
curr length is4417
curr length is4045
curr length is3945
curr length is4732
curr length is3793
curr length is4518
curr length is5030
curr length is4549
curr length is4347
curr length is5379
curr length is4728
curr length is4764
curr length is5067
curr length is4479
curr length is4411
curr length is4443
curr length is4703
curr length is4840
curr length is4068
curr length is4177
curr length is4573
curr length is4264
curr length is5244
curr length is4763
curr length is4844
curr length is4791
curr length is4092
curr length is5207
curr length is4723
curr length is4278
curr length is5056
curr length is4628
curr length is3975
curr length is4786
curr length is4630
curr length is4999
curr length is4024
curr length is4937
curr length is4698
curr length is4446
curr length is4647
curr length is5057
curr length is5346
curr length is4751
curr length is4242
curr length is4896
Iteration 35
curr length is4537
curr length is5673
curr length is4860
curr length is4722
curr length is3836
curr length is4451
curr length is4551
curr length is5323
curr length is5251
curr length is5130
curr length is4231
curr length is4753
curr length is4649
curr length is4629
curr length is3934
curr length is4091
curr length is4602
curr length is4735
curr length is4140
curr length is4870
curr length is4269
curr length is5282
curr length is4256
curr length is5433
curr length is4344
curr length is4656
curr length is4565
curr length is4480
curr length is4759
curr length is4644
curr length is4894
curr length is4654
curr length is4826
curr length is4212
curr length is4717
curr length is5090
curr length is4871
curr length is5563
curr length is3923
curr length is4072
curr length is5421
curr length is5577
curr length is4037
curr length is3455
curr length is4287
curr length is4135
curr length is5238
curr length is4661
curr length is4509
curr length is4932
Iteration 36
curr length is4824
